a 一
afjfx 哥本哈根
afjgc 一整套
afjk 𩈘
afjr 唜
afka 末日
aflk 𣞄
afmck 严格管理
afmo 𡘮
afmqw 丙酰胺
afnh 末代
afnom 无机化合物
afns 末位
afnvw 无机化学
afoe 𣖢
afoff 亚松森
afonr 两极分化
afoo 膥
afpa 末后
afqbi 无机盐
afqmy 一枝独秀
afqut 无机肥料
afrz 𩿣
afsh 𠅍
afsl 末端
aftrx 残酷斗争
afugn 两相情愿
afv 末
afvv 末
afvvg 正本清源
afwfa 无本之木
afwtj 无权过问
afwwd 严格遵守
afxm 末尾
afyd 𪜒
afyv 末了
afyz 𣚺
ag 无
agadb 无牵无挂
agae 幵 无形
agag 天天 𡙎 𡚌
agai 天下 𡗣
agaj 蚕豆
agau 吞灭 天平
agav 无一
agbb 天坛
agbho 亚太地区
agbo 顶替
agbu 䵡
agbv 天地
agbx 吞声 无声
agca 天王
agci 无耻
agcj 天职
agck 无理
agcr 无聊
agcs 𤤋
agcu 顶班
agcx 无瑕
agcyd 两面三刀
agcz 无毒
agd 天
agdbz 严厉打击
agddr 一大批
agdik 一大步
agdj 顶事
agdm 天才 无托
agdnx 一大片
agdq 天热
agds 顶撞
agef 栞
ageg 𩒖
ageh 顶芽
agei 蚕茧
agej 无辜
agek 𠛬
agel 天真 𥅝 𧵭
agen 天花
ageq 无期
agey 郉
agfbi 亚硝酸盐
agfg 无需
agfj 无赖 𡘸 𢆞
agfm 天桥
agfp 顶板
agfq 无机
agfr 顶格
agfs 无核
agfu 顶楼
agfx 无权
agfy 无极
aggch 副厂长
aggf 𣓁 𣓢
agggq 无奇不有
aggi 无不 蝅
aggvq 天有不测风云
aggzx 丽而不媚
aghbs 更确切地说
aghe 天车
aghp 天堑
aghwu 正确轨道
agi 䘉 蚕 𡗘
agia 𡗶
agibk 下不来
agii 䗞 䘉 蠺
agij 顶点
agikv 可不是
agilc 画龙点睛
agim 蚕蛾
agins 顶不住
agiv 天上
agivw 形而上学
agix 㪪 蚕蛹
agizq 再不能
agj 吞
agjb 吞吐 无味
agjc 天国
agji 顶嘴
agjj 吞咽
agjjr 平面图
agjk 𩇺
agjm 吞噬
agjn 𨾵
agjps 平面镜
agjrl 平面角
agk 昋
agka 䪞 无题 𩐄
agkc 䨿 无非 𩇳
agkd 天时
agkfz 亚硝酸
agkg 顶尖
agkh 无畏
agki 𤰳
agkn 𤾄
agkq 天明 奣
agku 无业
agkv 天水 无水 沗
agkw 天堂 无常
agkx 无暇
agla 天赋
aglgd 亚历山大
aglk 无罪 顶罪
agll 天山
aglla 死不瞑目
aglo 天内 𠔬
aglr 顶峰
aglsv 更不用说
aglv 无用
agmc 天生
agmh 天鹅
agmj 无知 蚕种
agmk 无利
agmm 天敌 无敌
agmph 一大笔钱
agmti 更大程度上
agmy 天气
agmz 无私
agnd 𡗤
agnf 天体
agnk 无偿
agnl 天仙
agno 天价 无价
agns 顶住
ago 頂 顶
agoa 天命
agod 吞入 无人
agoej 死有余辜
agoo 无从
agox 吞食 蚕食
agoyd 正确领导
agpe 天镇
agpg 无须
agpk 无锡
agq 𦙖
agqna 平面几何
agqo 顶风
agqw 𢡰
agqy 吞服
agr 无 𡯊
agrck 正确处理
agrg 天然
agrj 天象 无名
agrl 顶角
agrm 无疑 𣄳
agrr 无比
agrs 𡕠
agrsv 正确率
agrt 天冬
agrum 正确性
agrv 顶多
agry 天色 无色
agrz 鴌
agsa 无证
agsfz 亚硫酸
agsj 无误 顶部
agsk 天意 无意 无谓
agsl 顶端
agsnj 正确方向
agso 天文 无效 无论
agsq 无望
agssj 正确认识
agsvw 形态学
agsy 无方
agtf 天麻
agtg 顶头
agtn 天府
agto 天冷
agtr 天资 无底
agtv 无度
agu 忝
aguc 无情
ague 吞并 𢆛
agug 无关
agugn 一厢情愿
aguh 𢧏
aguj 无烟
agum 天性 无性
agun 无愧 𡚑
aguna 下不为例
aguo 无益 𪸷
aguw 无恙
aguz 无数
agvb 无法
agvg 天涯
agvv 吞没
agvx 天津
agvy 天池 无梁
agw 迗
agwb 天空
agwc 无害
agwj 天宫 无遗
agwjl 副研究员
agwl 无视
agwn 天窗
agwoi 正在进行
agwso 一面之交
agwu 天灾
agwy 天边 无边
agwz 㤁 无心
agxdj 两码事
agxx 蚕桑
agya 天子
agye 无异
agyi 𪥒
agyll 武夷山
agym 无力
agyo 天险
agyx 无限
agyyd 正确引导
agyym 万有引力
agz 𡗙
agzh 天线 无线
agzm 𡛌
agzq 无能
agzs 无妨
agzw 无缝
agzy 无级 顶级
agzz 无缘
ah 形成
ahagy 夏威夷
ahano 一式两份
ahau 武平
ahazz 正式开始
ahb 㦱
ahba 武士
ahbd 弐
ahbh 武城
ahbiv 形式上
ahbnm 一切工作
ahbo 武夫
ahby 武功 武都
ahda 武打
ahech 列车长
ahejl 列车员
aher 武警
ahey 武艺
ahff 武林
ahfs 武术
ahgsx 一成不变
ahha 武威
ahhsu 正式成立
ahi 武
ahie 𣦏
ahii 武 虣 𢦰
ahil 䝾 𧹁
ahir 鵡 鹉 𫜇
ahjj 武器
ahjr 武鸣
ahk 𢦱
ahkk 武昌
ahkr 𢎔
ahll 武山
ahlo 貮
ahlsk 一致同意
ahm 𢦌
ahmc 武生
ahmum 一致性
ahnb 武侠
ahnd 武川
ahnzz 下车伊始
ahoz 𢎁
ahpl 武钢
ahqm 武胜
ahr 鵡 鹉
ahrfu 形式多样
ahs 𢍼
ahslr 一致意见
ahsnf 百感交集
ahsso 形式主义
ahstj 正式访问
ahsuv 一致认为
ahtb 武装
ahte 武斗
ahtr 武将
ahvc 武清
ahvx 武汉
ahwa 武宁
ahwb 武宣 武进
ahwd 武定
ahwhj 形式逻辑
ahwwd 一致通过
ahwy 武官
ahwz 武安
ahyj 武强
ahym 武力
ahyr 武隆
ahys 𤭎
ahzo 𢎁
ahzu 武断
ahzz 武乡
ai 丁
aia 㠪 鄢
aiaa 丅
aiae 丁型
aiag 㒫
aiaj 哥 𠾳
aiajd 可卡因
aiao 𠇬 𨱘
aiaoq 一步一个脚印
aiaqm 百战百胜
aiar 下列 𡕣
aiaug 与此无关
aiavs 一点一滴
aiax 𠾥
aiaxf 更上一层楼
aiay 𫒘
aiaz 𡿰 𡿴
aiba 正巧
aibb 政坛
aibg 𣦥
aibi 下工
aibk 下来
aibo 正规
aibr 㒫
aibu 𠁘
aibv 下地
aibx 下坡
aiby 下场
aibz 下去 𠳊 𡿰 𪵛
aicbz 平步青云
aich 𢧎
aicj 正职
aicl 𧶷
aicq 靕
aicr 𡕣
aicu 下班
aicz 𡿴
aid 下
aido 下挫
aids 下拉
aief 丁苯
aieh 下载
aiel 正直
aieo 𥛴
aiev 下落
aiey 政协
aifb 𣒮
aife 下棋
aifk 下榻
aifpx 与此相反
aifs 丁醇
aifu 下楼
aifug 与此相关
aifv 下雨
aifx 政权
aify 正极
aifz 丁酸
aigar 百战不殆
aigj 下面 正面
aigo 頂 頙 顶
aigr 㒫 正确 𣤀
aigug 与此有关
aigv 正在
aih 𠀀
aihb 正式
aihe 下车
aihns 一步到位
aihq 正轨
aihy 正切
aii 正 𤴓
aiia 㐀 𠀝
aiib 羋 芈
aiibs 无止境
aiid 卝
aiie 𢍐
aiij 正点 𩃅
aiil 𣦓 𧇘
aiin 雈
aiip 𨪱
aiir 正餐
aiix 㪃 𠀞
aij 可 𠮴
aija 正号
aijg 𡘀 𩑸
aijh 㢦 戨 𢎄 𢦪
aijij 一点点
aijj 下颚 正品
aijl 𪾺
aijm 下跌 𢼔
aijp 㪼
aijr 㰤 下图 歌 𠀿 𥘱 𪀉 𪃿 𫜒
aijrd 一点儿
aijs 𧭳
aijv 正中
aijx 𠄙
aijy 㐓 𨚩 𨝆
aika 正题 𥛠
aikb 𠽚
aikew 无上光荣
aikf 𥚌
aikg 正畸
aikik 一步步
aikk 𤳾
aikl 𣦎
aiko 政界
aikv 正是
aikw 政党 正常
aikx 正当
aikz 正电
ailb 下周 𢀯
aild 下同
ailh 下贱
ailk 𠁚
ailkd 与此同时
aill 下山 下岗
ailq 𦟆
ailr 政见
ailw 正骨 𢦀
aim 政
aimb 下等
aimd 下手
aime 下午 下垂 正午
aimf 政策
aimj 丁种 正告
aimk 𣥵
aiml 𧖬
aimm 下笔 政敌
aimo 政
aims 𠀨 𥪛
aimw 𢾘
aimy 正气
aimz 政委
aimzb 万紫千红
aine 正值
ainf 政体 𥙳
ainh 𢧖
aini 𨾖
aink 𪶣
ainl 𥘲
aino 𧹚
ainp 𣂘
ainr 正像 𠅗
ainx 正片
aio 𤓯
aioa 下颌
aiob 𢀰
aioh 𨱗
aioi 政企 𥙏
aion 𩲚 𩳮
aior 夒 蘷 𪤾
aiow 下令 政令 𠾥
aipi 下钻
aipl 下盘
aipx 正反
aiqd 𠙁
aiqe 下肢
aiqi 颪
aiqo 下风
aiqv 下月 正月
aiqx 𣪅
aird 𥘅
airj 茍 𠶱 𡃭
airk 下旬 𠶘
airl 正负
airm 𣀋 𪢪
airo 𠀵
airr 正比 𠀢 𠀲
airs 羐 𣥛
airy 政务
airz 鴊 𩾚 𩿳
aisj 下部 正误
aisk 下课 𠝙
aisl 下调
aism 下放
aiso 正义 正文
aisq 下设
aisr 𧙑
aisu 𥩠
aisx 政变
aisy 下方 𨜃
aitg 下头
aitm 下痢
aitn 政府
aitr 下次
aiuc 下情
aiug 丁类 𡯼
aiuj 𠁈
aiun 𩠑
aiuo 丁烯 正火 𠀺 𤆉 𨱘
aiuw 丁烷
aiuy 鄢
aiuz 正数
aivb 政法
aivji 画蛇添足
aivl 下滑
aivm 下海
aivp 下浮 正派
aivs 下游
aivv 𠃎
aivw 下沉
aivz 政治 𪡕
aiwa 正宁
aiwb 正宗
aiwc 正割
aiwd 下定 正定
aiwf 下述
aiwg 下达
aiwh 𢧻
aiwk 政审
aiwl 正视
aiwr 政客 正逢 𠖙
aiws 𣃟
aiwu 正道
aiwy 丁字 下边
aiwz 忑 正安 𢘫
aixa 下马
aixb 下层
aixj 下臂
aixk 下届
aixm 下属
aixo 𪚦
aixx 𪚦
aixy 政局
aiy 邒 𨚣
aiyb 鄢陵
aiyd 㐉 乤
aiyi 下巴
aiyk 正阳
aiyr 下降 下陷
aiys 㼗 下弦 正弦 𤭻
aiyx 下限
aiz 丐
aizc 政绩
aizg 𩒆
aizj 下台 正如
aizk 𣅰
aizl 政纲 𧵜
aizm 𡛵
aizp 𣂱
aizq 焉能
aizr 𠣣
aizs 正统
aizu 焉
aizv 下发
aizx 正经
aizy 下级 丏 正好 𨚾
aizz 下乡
aj 可
aja 哥
ajae 副刊
ajai 䜻 𡈋
ajaj 哥哥 融融 豌豆 𠻸 𩱇
ajak 可恶
ajaml 一国两制
ajamy 一口气
ajar 𣱌
ajarf 死路一条
ajatn 两国政府
ajatv 一呼百应
ajaug 正中下怀
ajaya 两口子
ajba 可巧
ajbb 歌坛 𩰳
ajbj 可喜
ajbk 𩰵
ajbka 吞吐量
ajbn 副井
ajbx 歌声
ajcb 𧯵
ajci 可耻
ajcj 副职
ajctk 两国间
ajcu 𩱉
ajcx 可取
ajdch 副团长
ajdm 囊括
ajdue 一团糟
ajeb 𧰆
ajeh 豆芽
ajei 𧐵
ajej 𩰯
ajek 䜺 豆苗
ajeq 可获
ajer 可敬 嚢 囊
ajew 豆蔻
ajewn 百叶窗
ajex 䰙 豉
ajey 歌艺
ajfa 副本
ajfj 䜹 𣒚 𣗞
ajfx 副根
ajga 歌厅
ajgby 一哄而起
ajgd 𡭋
ajgdg 一蹶不振
ajgeq 一哄而散
ajgf 㯻 橐 𣠔
ajgg 𥗤 𩱄
ajggg 百听不厌
ajgi 可不
ajgj 可否
ajgl 𢄿 𩰴
ajgle 开国大典
ajgq 可有
ajgsj 一蹴而就
ajgu 𩱊
ajhb 𧯬 𩰹
ajhh 𢨖
ajhm 𩰭
ajhmk 无足轻重
aji 囊 𧖓 𧾸
ajii 蠹 𣥔 𧕰 𧖚
ajiw 𢘑
ajix 䜴 叓 𢾇 𢾿
ajiz 𡝽
ajja 可口 𧯱
ajjb 𡈧
ajjd 可因
ajje 可鄙
ajjf 櫜 𣟏
ajji 可贵 𧏋 𫚈
ajjj 副品
ajjk 㽬 歌唱 疈 𠠦 𤲇
ajjl 𩱇
ajjn 歌喉
ajjs 歌咏
ajju 𧰐
ajk 副
ajke 𩍻
ajkf 㰆 𣠀 𣡖
ajkg 𡚀
ajki 可由 畐
ajkk 副 歌曲 𧰉
ajkm 歌星
ajkr 鶝
ajku 副业
ajkv 可是 𠀯
ajkw 可悲 逼
ajkx 𩰼
ajkz 𧰃
ajl 融
ajla 𧰗 𫎿
ajld 鬲 𠀷 𠁐 𫚉
ajle 鞷
ajlf 鬴
ajlg 𦓠 𩰴
ajlh 𩰭
ajli 融 𧖓 𫌅
ajlj 𧰏
ajlk 䰝
ajll 𫚉
ajlm 𩰫
ajlr 可见 鷊 鹝
ajls 䰚
ajlv 可用
ajly 䣓 𨜥
ajma 可卸
ajmb 𩰫
ajmd 副手 歌手
ajme 歌舞
ajmgq 无中生有
ajmh 𧯝
ajmi 𧯤
ajmj 可知 可靠
ajml 可看 𩰬
ajmm 可笑
ajmr 可先
ajmt 豆科
ajmv 可我
ajmy 可气
ajna 可使
ajne 可供 豍
ajnf 𣝐
ajnr 融化
ajns 可信
ajnv 可他
ajnx 䝄 𧰤
ajo 吏
ajoa 融合
ajob 融会
ajod 㐁
ajof 𣡦 𣡪
ajoi 可行
ajoj 𠲀
ajomr 一路领先
ajoo 𠀬 𧯲
ajop 𪫟
ajor 鬷 𩰺 𩱛
ajos 吏
ajot 栆
ajox 副食
ajoyh 两国人民
ajoz 歌颂
ajpw 可爱
ajqg 囊胚
ajqk 䜽
ajr 歌
ajrf 𣚇 𣡏
ajriv 一路上
ajrj 𧯠
ajrk 可乐
ajrl 融解
ajrm 䜶 可疑
ajrn 𧯰
ajro 鬺
ajrr 可比 𧯨 𩱛
ajry 豌
ajrz 𩱈
ajse 可读
ajsf 可亲
ajsj 𡃠
ajsk 䜾 可谓
ajsl 可调
ajsp 歌谣
ajsq 可望
ajsr 𧚐 𧞢 𩱘 𩱝
ajsx 可变
ajsy 歌词
ajte 㪷 𩰮
ajtn 豆腐
ajtr 融资 豆浆
ajtrk 武器装备
aju 豆 頭
ajua 豆
ajub 豇
ajue 可惜 𧯯
ajug 頭
ajuj 副总 𧯩
ajuk 剅 可判
ajul 𧡀 𩱐
ajum 毭
ajumz 两国关系
ajun 可怕
ajuo 可怜
ajuod 一鸣惊人
ajup 𧯞
ajuq 𣪌
ajur 㰯 𪁞
ajus 豆粒
ajuu 可憎
ajuvy 囊中羞涩
ajuw 逗
ajux 䜵 可恨 豏
ajuy 㐙 郖 𧯪
ajuz 䜳
ajuzi 正因为如此
ajvf 豆渣
ajvk 豆沙 豆油
ajvo 融洽
ajvs 𩰻
ajvv 𠮛
ajwb 𠁏 𠁕
ajwg 可达
ajwi 𧋌
ajwl 䝴 可视
ajwtk 两国之间
ajwu 可逆 歌迷 𥺠
ajwx 䜷 融通
ajwy 副官 𧰎
ajwz 可心
ajwzo 无固定收入
ajx 事
ajxb 𠄙 𩰰 𩱃
ajxe 歌剧 𩱂
ajxl 可观 𡻧
ajxm 䜸
ajxx 𧰤 𩰸
ajxym 开足马力
ajxz 𪜄
ajya 豆子
ajyk 䝀 鬸
ajyr 𪈊
ajys 䰛
ajyy 副翼 翮 𦑭 𧰂
ajzb 𧰁
ajzf 㯱 𣘯 𣞈
ajzi 蟗 𠚃
ajzm 𣞉
ajzo 可以 𩰶
ajzq 可能
ajzr 𩰷
ajzu 䝃
ajzym 吞吐能力
ajzz 可出
ak 更
akad 严于
akae 画刊
akai 严正 更正
akajs 百日咳
akajw 无影无踪
akak 画画 𣌽
akalo 两日内
akaom 一览无余
akasz 无时无刻
akavs 一日游
akax 𠨔
akay 𠢾
akb 垩 𡉹
akbh 晋城
akbmk 天时地利
akbmo 天时地利人和
akbnm 正常工作
akbo 更替
akbz 更动
akcbh 万里长城
akcds 亚非拉
akch 更长
akcki 正当理由
akcoa 万里长征
akcx 𣍇
akcz 恶毒
akda 严打
akdav 百里挑一
akdk 画押
akdml 夏时制
akdr 更换
akds 専
akdy 画报
aken 𢍖
akeo 𥛴
akesj 亚当斯敦
akf 𣐫
akfb 𣒮 𥙳
akfe 恶霸
akff 严禁
akfj 严整
akfk 恶棍
akfm 严酷
akfr 严格
akfuo 正当权益
akfv 更要
akga 严厉
akgd 更大
akgj 画面
akgo 𩓏
akgoe 百思不得其解
akgq 更有
akgrl 百思不解
akgs 亚太
akgso 形影不离
akgvq 一尘不染
akgzy 顶尖级
akhk 亚东
akho 亚欧
akhya 一辈子
aki 𤰓
akij 恶战
akil 𧇘
akjo 𠦱
akjr 画图 𥘱
akjv 晋中
akk 晋 曺
akka 𥛠
akkc 亚非
akkf 恶果 𥚌
akkh 戬
akki 𥙍
akkm 恶劣 更少
akko 更小 𠪕 𪏬
akkq 严明
akkr 𪅳
akkv 更是
akkw 𢥍
akky 鄑
akla 画幅
aklc 𥘲
akll 𠦟
aklp 𢒴
aklz 严峻
akm 严
akmch 副省长
akmcr 一览表
akmdv 更少的
akme 晋升
akmk 严重
akmll 万水千山
akmm 画笔
akmr 更稳
akmtx 正常秩序
akmzy 一星级
akna 更使
aknbu 与日俱增
akng 恶臭
aknj 𩲚
akno 亚伦
aknr 恶化 更低 画像
aknwb 与时俱进
aknwx 无师自通
aknx 画片
aknz 𪕢
ako 更 𡭕 𤓯
akoa 严惩
akoba 开明人士
akodk 一小撮
akof 𣍛
akoi 𥙏
akojl 无业人员
akok 𣌼
akokd 一小时
akol 㬲
akom 甦 𪯥
akor 𩰽
akos 更
akoub 开小差
akow 严令
akoy 郠 𠡣
akpd 㪽 𣂘
akpm 亚铁
akqi 𣦂 𧈌
akqq 画册
akra 𣱊
akrj 更名
akrr 䴡 𪇾
akrs 𣱊
akrt 严冬
akrv 更多
aks 求
akse 严谨
aksf 更新
aksj 更高
aksk 恶意
aksm 𢾾
aksr 更衣
aktf 亚麻 恶魔
aktm 恶疾
akts 画廊
aktv 更应
aku 亚
akub 𣍏
akuh 𢨙
akuij 一星半点
akum 恶性
akuv 更为
akux 更快 𣍙
akuy 画卷
akv 𣱳
akvb 晋江 画法
akvmu 于是乎
akvob 无党派人士
akvpj 无党派爱国人士
akvv 亚洲 𣄼
akvw 更深
akvyb 可是那
akw 恶
akwa 晋宁
akwb 亚运
akwd 严守
akwe 严寒
akwg 画家
akwh 亚军
akwhb 正常运转
akwm 更迭
akwmc 死里逃生
akwnr 正常化
akwod 平易近人
akwt 严实
akwvp 无党派
akww 严密
akwz 恵 恶 恶心
akxb 𡋲
akxe 画展
akxk 畱
akxl 𧶝
akxmm 正当年
akxn 严肃
akxo 𠪕
akxrl 开曼群岛
aky 𠃫
akyj 更加
akym 更改
akyo 严办
akyod 下里巴人
akys 严防
akyt 恶习
akyy 𦑃
akz 画
akzen 正电荷
akzew 无照经营
akzf 𣓧
akzi 画 𠦟 𤴛
akzir 更是如此
akzj 𠵤
akzk 㓰
akzq 更能
akzs 叀
akzvy 干电池
akzy 晋级 更好
akzya 正电子
al 两
ala 麗
alae 丙型
alaj 两可 𠱩 𢂷
alal 𠀙 𢂏
alan 两百
alar 两列
alb 再
albb 两款
albch 副署长
albd 𠕂 𠕅
albg 两项
albk 再来 𪳌
alblo 天罗地网
albm 两者
albod 百岁老人
albv 两地
albxo 严峻考验
alby 再起
alcd 再三
alcv 再现
alcw 两鬓
aldxs 一网打尽
alex 𢺷
alfe 再植
alff 两栖
alfl 丙酮
alfm 两枚
alfs 丙醇
alfu 两样
alfy 两极
algc 两套
algd 𡭃
algg 𩖀
algi 再不
algj 两面
algs 𤜲
algx 𢂛
alhv 两成
ali 巿 帀
alij 两点
alisq 形同虚设
alix 㪅 𢻵 𣀷
aljc 两国
alji 𠁖
aljo 两只
alka 䪟 䪣 𫗙
alkcr 万用电表
alkd 𠚷
alko 𫝞
alkv 丽水
alkw 两党
all 丽
allbv 两岸四地
alld 丽
allg 两岸 𥈜
allk 再则
alll 両
allp 彨
allr 再见 鹂 𧠎
allt 麗
allv 两用
allw 逦
allx 两眼
ally 郦
allz 婯 𡡜
alm 𪪇
almc 再生
almd 两手
alme 两千
almh 𣬪
almj 丙种 两种
almk 两利
alml 𠕱 𧠥
almm 两年
almo 𢼆
almy 𠀸
